cruise	date	Depth	Oxygen 	Phosphate	Silicate	Nitrate	Ammonium	Nitrite 	Hydrogen Sulfide 	Methane 	Nitrous Oxide
SI047	10-07-17	185	0	6.289	82.823	0	8.963347486	0.17816092	19.24849109	1094.204007	3.327207537
SI021	08-05-14	40	190.4022823	2.024	46.188	24.196	NAN	NAN	0	32.48054408	13.31388998
SI023	08-07-15	40	201.0662585	1.508	25.336	14.481	3.80794455	NAN	0	42.16295547	12.09694772
SI026	08-10-15	97	8.997017856	3.884	82.789	23.256	0	NAN	0	0	20.43860952
SI032	09-04-08	40	226.3741457	2.1802	20.826	24.654	1.368976151	0.294736842	0	20.10192349	13.74779592
SI025	08-09-10	165	2.842698693	4.512	90.928	0	NAN	NAN	0	814.6614415	0
SI025	08-09-10	200	0	4.953	95.977	0	NAN	NAN	4.947128047	737.7903097	0
SI023	08-07-15	10	265.6771685	0.736	36.062	7.049	2.13905625	NAN	0	26.91563999	9.625755955
SI047	10-07-17	100	31.42440706	3.806	59.61	25.392	0	0.348659004	0	22.74924333	15.98981429
SI022	08-06-11	150	8.314991685	3.9185	57.429	8.111	NAN	NAN	0	7.568442057	19.16374026
SI029	09-01-14	185	3.63791213	4.5606	25.484	16.061	NAN	0.045106383	0	12.09849381	7.63900866
SI031	09-03-11	75	160.8132203	2.3243	29.101	28.429	0.225936145	0.139213716	NAN	0	13.79118154
SI025	08-09-10	110	23.80456517	2.9715	46.661	22.9655	NAN	NAN	0	0	20.86245281
SI036	09-08-01	120	17.74458287	3.5904	60.088	20.214	0	0	0	5.005664793	16.51191604
SI026	08-10-15	10	203.5326353	2.023	51.871	23.931	0	NAN	0	7.763199314	10.97926898
SI026	08-10-15	85	26.97244039	3.271	71.08	27.463	0	NAN	0	0	22.5215066
SI029	09-01-14	75	158.5805829	2.7577	26.508	29.622	NAN	0.015319149	0	0	15.26628844
SI028	08-12-10	97	18.9932223	NAN	NAN	NAN	NAN	0.047694754	0	0	18.91550389
SI025	08-09-10	120	20.08249566	3.2	62.963	21.073	NAN	NAN	0	0	18.74805387
SI031	09-03-11	120	22.04340779	3.223	42.2	13.465	0	0.091113238	NAN	0	12.92458524
SI031	09-03-11	100	121.1922444	2.6939	42.604	28.637	0	0.295559809	NAN	1.519861943	17.53394252
SI036	09-08-01	200	0	5.9169	78.57	0	7.216654033	0	12.73898973	843.6993959	1.706651137
SI038	09-10-01	165	3.158821988	3.9006	77.007	0	9.430668842	0.020525452	0	151.7697839	3.11152461
SI047	10-07-17	110	11.31817176	4.117	80.155	20.211	0	0.225095785	0	29.06638839	26.15817757
SI033	09-05-01	75	NAN	2.7676	21.181	27.64	0.157270629	0.287681159	0	19.73499935	16.71109824
SI029	09-01-14	10	180.111893	2.3595	25.973	29.053	NAN	0.11	0	0	13.76657101
SI028	08-12-10	75	106.1070727	NAN	NAN	NAN	NAN	0.093004769	0	10.71117137	15.36854108
SI047	10-07-17	90	68.50887122	3.241	61.896	27.662	0	0.173371648	0	36.90547583	8.036783429
SI038	09-10-01	100	13.15863401	3.7653	76.114	25.562	7.289066748	0.023809524	0	12.04060439	19.87513848
SI033	09-05-01	135	NAN	4.2449	38.494	18.456	0	0.04673913	0	0	13.32146274
SI047	10-07-17	120	3.457545235	4.536	85.953	7.31	0	1.820881226	0	24.42791692	12.4898457
SI047	10-07-17	97	42.79501809	3.728	68.97	26.309	0	0.215517241	0	24.68941563	16.66117716
