"","ID","Mean"
"411","J23109_emrR_0uM Vanillin",1390.2161229816
"414","J23109_emrR_20uM Vanillin",1363.2012104212
"417","J23109_emrR_40uM Vanillin",1279.17674014939
"420","J23109_emrR_80uM Vanillin",1284.97706311485
"413","J23109_emrR_160uM Vanillin",1468.7976563823
"416","J23109_emrR_320uM Vanillin",1760.40853268651
"419","J23109_emrR_640uM Vanillin",2152.97570163905
"412","J23109_emrR_1280uM Vanillin",3475.2909297291
"415","J23109_emrR_2560uM Vanillin",6277.29814674522
"418","J23109_emrR_5120uM Vanillin",11974.4737518808
