ID,Time,Mean,Sd,Time_min,Time_hrs,Treatment
S_pEmr_GFP_0uM Syringaldehyde,19800.5,94.04514961,8.163557918,330,5.5,0
S_pEmr_GFP_20uM Syringaldehyde,19800.5,107.5866948,12.85584107,330,5.5,20
S_pEmr_GFP_40uM Syringaldehyde,19800.5,134.8737368,18.2629421,330,5.5,40
S_pEmr_GFP_80uM Syringaldehyde,19800.5,185.9789872,26.0834392,330,5.5,80
S_pEmr_GFP_160uM Syringaldehyde,19800.5,290.0840489,27.84156774,330,5.5,160
S_pEmr_GFP_320uM Syringaldehyde,19800.5,423.2306546,16.87078978,330,5.5,320
S_pEmr_GFP_640uM Syringaldehyde,19800.5,563.537178,19.4006613,330,5.5,640
S_pEmr_GFP_0uM Syringaldehyde,20700.5,103.5062335,7.50809045,345,5.75,0
S_pEmr_GFP_20uM Syringaldehyde,20700.5,116.5940474,13.04480754,345,5.75,20
S_pEmr_GFP_40uM Syringaldehyde,20700.5,148.830423,21.77780294,345,5.75,40
S_pEmr_GFP_80uM Syringaldehyde,20700.5,201.7640518,22.20171593,345,5.75,80
S_pEmr_GFP_160uM Syringaldehyde,20700.5,303.5143392,23.36919129,345,5.75,160
S_pEmr_GFP_320uM Syringaldehyde,20700.5,448.5742535,15.182808,345,5.75,320
S_pEmr_GFP_640uM Syringaldehyde,20700.5,589.3988791,12.76847232,345,5.75,640
S_pEmr_GFP_0uM Syringaldehyde,21600.5,107.5966707,8.540146143,360,6,0
S_pEmr_GFP_20uM Syringaldehyde,21600.5,123.1103622,4.900914782,360,6,20
S_pEmr_GFP_40uM Syringaldehyde,21600.5,154.4009083,22.43429466,360,6,40
S_pEmr_GFP_80uM Syringaldehyde,21600.5,210.5239734,27.86249033,360,6,80
S_pEmr_GFP_160uM Syringaldehyde,21600.5,309.0622102,27.00092809,360,6,160
S_pEmr_GFP_320uM Syringaldehyde,21600.5,453.775828,6.06376925,360,6,320
S_pEmr_GFP_640uM Syringaldehyde,21600.5,598.5830534,16.16288163,360,6,640
S_pEmr_GFP_0uM Syringaldehyde,22500.6,103.9314267,5.697633852,375,6.25,0
S_pEmr_GFP_20uM Syringaldehyde,22500.6,126.2825952,10.55718351,375,6.25,20
S_pEmr_GFP_40uM Syringaldehyde,22500.6,155.0392945,18.92367726,375,6.25,40
S_pEmr_GFP_80uM Syringaldehyde,22500.6,210.8667552,23.3470543,375,6.25,80
S_pEmr_GFP_160uM Syringaldehyde,22500.6,319.5729256,24.14584814,375,6.25,160
S_pEmr_GFP_320uM Syringaldehyde,22500.6,471.7886892,11.85605462,375,6.25,320
S_pEmr_GFP_640uM Syringaldehyde,22500.6,613.8921032,18.71046086,375,6.25,640
S_pEmr_GFP_0uM Syringaldehyde,23400.6,109.7029032,5.819281839,390,6.5,0
S_pEmr_GFP_20uM Syringaldehyde,23400.6,127.6753267,4.830732336,390,6.5,20
S_pEmr_GFP_40uM Syringaldehyde,23400.6,155.8341872,24.81975816,390,6.5,40
S_pEmr_GFP_80uM Syringaldehyde,23400.6,220.7677075,23.94556774,390,6.5,80
S_pEmr_GFP_160uM Syringaldehyde,23400.6,325.3234352,23.91346152,390,6.5,160
S_pEmr_GFP_320uM Syringaldehyde,23400.6,472.5690233,3.429647351,390,6.5,320
S_pEmr_GFP_640uM Syringaldehyde,23400.6,625.8270835,16.65308312,390,6.5,640
S_pEmr_GFP_0uM Syringaldehyde,24300.6,112.8290781,7.581054339,405,6.75,0
S_pEmr_GFP_20uM Syringaldehyde,24300.6,134.936906,8.421705557,405,6.75,20
S_pEmr_GFP_40uM Syringaldehyde,24300.6,162.3005443,19.41566617,405,6.75,40
S_pEmr_GFP_80uM Syringaldehyde,24300.6,218.7834857,28.65692809,405,6.75,80
S_pEmr_GFP_160uM Syringaldehyde,24300.6,334.3886795,27.31557086,405,6.75,160
S_pEmr_GFP_320uM Syringaldehyde,24300.6,486.773908,19.34725473,405,6.75,320
S_pEmr_GFP_640uM Syringaldehyde,24300.6,638.1720042,21.51562491,405,6.75,640
S_pEmr_GFP_0uM Syringaldehyde,25200.6,119.9989472,4.234494314,420,7,0
S_pEmr_GFP_20uM Syringaldehyde,25200.6,143.233564,6.69848132,420,7,20
S_pEmr_GFP_40uM Syringaldehyde,25200.6,171.9939065,24.52567068,420,7,40
S_pEmr_GFP_80uM Syringaldehyde,25200.6,231.2883243,27.22937269,420,7,80
S_pEmr_GFP_160uM Syringaldehyde,25200.6,353.0457206,15.39869333,420,7,160
S_pEmr_GFP_320uM Syringaldehyde,25200.6,502.7959441,12.74451502,420,7,320
S_pEmr_GFP_640uM Syringaldehyde,25200.6,652.7578142,8.283788968,420,7,640
S_pEmr_GFP_0uM Syringaldehyde,26100.6,121.8944232,2.517674273,435,7.25,0
S_pEmr_GFP_20uM Syringaldehyde,26100.6,146.6523516,2.21910159,435,7.25,20
S_pEmr_GFP_40uM Syringaldehyde,26100.6,178.8488807,24.6460105,435,7.25,40
S_pEmr_GFP_80uM Syringaldehyde,26100.6,242.0563167,25.76992218,435,7.25,80
S_pEmr_GFP_160uM Syringaldehyde,26100.6,358.6860664,21.89546126,435,7.25,160
S_pEmr_GFP_320uM Syringaldehyde,26100.6,512.4457496,6.102391961,435,7.25,320
S_pEmr_GFP_640uM Syringaldehyde,26100.6,658.4806865,10.36055816,435,7.25,640
S_pEmr_GFP_0uM Syringaldehyde,27000.6,126.0878129,3.888421179,450,7.5,0
S_pEmr_GFP_20uM Syringaldehyde,27000.6,151.7162725,4.955175882,450,7.5,20
S_pEmr_GFP_40uM Syringaldehyde,27000.6,182.6602133,26.20203417,450,7.5,40
S_pEmr_GFP_80uM Syringaldehyde,27000.6,246.8461257,24.92383952,450,7.5,80
S_pEmr_GFP_160uM Syringaldehyde,27000.6,367.2947202,24.17934768,450,7.5,160
S_pEmr_GFP_320uM Syringaldehyde,27000.6,520.0138416,2.20404429,450,7.5,320
S_pEmr_GFP_640uM Syringaldehyde,27000.6,669.0160015,7.900671219,450,7.5,640
S_pEmr_GFP_0uM Syringaldehyde,27900.7,134.8907093,6.280409268,465,7.75,0
S_pEmr_GFP_20uM Syringaldehyde,27900.7,163.2420519,8.176464271,465,7.75,20
S_pEmr_GFP_40uM Syringaldehyde,27900.7,196.011968,21.98729606,465,7.75,40
S_pEmr_GFP_80uM Syringaldehyde,27900.7,257.4628076,25.97276543,465,7.75,80
S_pEmr_GFP_160uM Syringaldehyde,27900.7,384.3163157,19.928172,465,7.75,160
S_pEmr_GFP_320uM Syringaldehyde,27900.7,540.2635213,2.428982847,465,7.75,320
S_pEmr_GFP_640uM Syringaldehyde,27900.7,687.1655931,10.68085788,465,7.75,640
S_pEmr_GFP_0uM Syringaldehyde,28800.7,140.5698799,7.835777419,480,8,0
S_pEmr_GFP_20uM Syringaldehyde,28800.7,170.1363581,6.642811026,480,8,20
S_pEmr_GFP_40uM Syringaldehyde,28800.7,200.3100156,24.14235217,480,8,40
S_pEmr_GFP_80uM Syringaldehyde,28800.7,263.7545993,23.74419201,480,8,80
S_pEmr_GFP_160uM Syringaldehyde,28800.7,393.647419,24.11806155,480,8,160
S_pEmr_GFP_320uM Syringaldehyde,28800.7,550.3933616,4.118756646,480,8,320
S_pEmr_GFP_640uM Syringaldehyde,28800.7,695.9491394,11.1823341,480,8,640
S_pEmr_GFP_0uM Syringaldehyde,29700.7,143.9910611,8.112172403,495,8.25,0
S_pEmr_GFP_20uM Syringaldehyde,29700.7,174.7529963,2.349561436,495,8.25,20
S_pEmr_GFP_40uM Syringaldehyde,29700.7,205.0708865,22.40694683,495,8.25,40
S_pEmr_GFP_80uM Syringaldehyde,29700.7,274.3686804,26.61141642,495,8.25,80
S_pEmr_GFP_160uM Syringaldehyde,29700.7,402.5409386,22.08716654,495,8.25,160
S_pEmr_GFP_320uM Syringaldehyde,29700.7,568.2055998,5.0197409,495,8.25,320
S_pEmr_GFP_640uM Syringaldehyde,29700.7,704.7326719,13.84216675,495,8.25,640
S_pEmr_GFP_0uM Syringaldehyde,30600.7,152.0940182,6.108419026,510,8.5,0
S_pEmr_GFP_20uM Syringaldehyde,30600.7,180.853607,7.070215113,510,8.5,20
S_pEmr_GFP_40uM Syringaldehyde,30600.7,211.0814804,21.63393634,510,8.5,40
S_pEmr_GFP_80uM Syringaldehyde,30600.7,282.2792156,26.74143241,510,8.5,80
S_pEmr_GFP_160uM Syringaldehyde,30600.7,413.414347,22.39337639,510,8.5,160
S_pEmr_GFP_320uM Syringaldehyde,30600.7,575.0719861,5.402972143,510,8.5,320
S_pEmr_GFP_640uM Syringaldehyde,30600.7,716.2205394,12.10597915,510,8.5,640
S_pEmr_GFP_0uM Syringaldehyde,31500.8,162.2938096,4.638926961,525,8.75,0
S_pEmr_GFP_20uM Syringaldehyde,31500.8,191.1985611,8.354754763,525,8.75,20
S_pEmr_GFP_40uM Syringaldehyde,31500.8,224.8807811,30.24038884,525,8.75,40
S_pEmr_GFP_80uM Syringaldehyde,31500.8,292.7593995,26.37322658,525,8.75,80
S_pEmr_GFP_160uM Syringaldehyde,31500.8,430.6714135,19.1480888,525,8.75,160
S_pEmr_GFP_320uM Syringaldehyde,31500.8,589.3182957,4.18107443,525,8.75,320
