Locus Tag,CtrlS_M_1,CtrlS_M_2,CtrlS_C_1,CtrlS_C_2,TestS_H1_1,TestS_H1_2,TestS_H2_1,TestS_H2_2,TestS_H3_1,TestS_H3_2,CtrlL_M_1,CtrlL_M_2,CtrlL_C_1,CtrlL_C_2,TestL_H1_1,TestL_H1_2,TestL_H2_1,TestL_H2_2,TestL_H3_1,TestL_H3_2
CJJ81176_0001,39236,20066,66044,26443,59159,23192,57088,19330,68018,20331,32115,26442,36967,23143,37738,23997,35988,31034,38132,28181
CJJ81176_0002,37657,19928,63173,25282,54501,21744,52300,18907,62484,18928,29194,24626,34616,21253,35574,22342,33130,28476,35433,27409
CJJ81176_0003,10752,6937,16462,9112,14374,8604,13594,8047,15763,7546,3224,3602,3551,3077,3335,2309,3478,2469,3800,2994
CJJ81176_0004,44802,28743,66481,38338,60991,35780,55662,32654,66206,30409,17470,18674,20027,16396,19916,13637,20233,14360,22143,18161
CJJ81176_0005,7577,4870,10872,6176,10445,5255,9083,4948,11409,4266,3965,3870,4340,3070,4459,2959,3955,2654,4338,4118
CJJ81176_0006,658,892,708,967,727,743,647,825,763,780,1388,789,812,445,870,381,876,589,859,636
CJJ81176_0007,1614,1520,2101,1889,2059,1606,1763,1558,2195,1534,1908,1250,2234,1327,2417,1346,2339,1319,2420,1678
CJJ81176_0010,88,19,64,35,88,42,76,29,84,18,28,52,24,16,19,38,6,23,14,42
CJJ81176_0013,3024,1811,3483,1982,3645,1627,3119,1766,3545,1353,1637,2257,1550,1437,1714,1323,1486,1416,1526,1566
CJJ81176_0014,1750,1879,3205,2585,3436,2171,2997,1938,3316,1675,237,324,410,491,394,441,332,445,360,442
CJJ81176_0015,8141,8827,17101,12360,17638,10651,16359,9181,18542,8681,1163,1535,1949,2305,1755,2106,1767,2106,1895,1879
CJJ81176_0016,6366,6038,13169,8498,13501,7699,12696,6690,14010,6230,743,1143,1384,1694,1237,1605,1360,1587,1300,1403
CJJ81176_0017,13738,10175,25993,14622,26125,13177,23758,11859,26948,11327,1360,2213,2514,3243,2356,3027,2542,3088,2852,2978
CJJ81176_0018,3510,6326,4519,6123,4289,5756,4175,5331,5157,5635,6705,7240,7133,7726,7001,7306,6485,7985,7303,9152
